更新时间,#genre#
20260831-10-24-49,url


RespoTime,whitelist,#genre#
589.15ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.53:8060
596.50ms,CCTV1,http://114.226.212.189:8787/rtp/239.49.8.129:6000
622.18ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.33:8002
591.61ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.81:8176
592.26ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.126:8002
593.23ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.194:4120
620.82ms,CCTV1,http://39.77.22.26:4002/rtp/239.253.254.77:8000
600.72ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.89:8000
602.19ms,CCTV1,http://219.156.94.32:4022/rtp/225.1.4.73:1102
601.25ms,CCTV1,http://114.254.38.234:8888/rtp/239.3.1.129:8008
601.24ms,CCTV1,http://60.4.28.19:8077/rtp/239.253.92.83:8012
591.86ms,CCTV1,http://124.112.241.196:4022/rtp/238.1.78.166:7200
595.83ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.77:8000
590.78ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
618.44ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.81:8176
622.84ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.53:8060
622.31ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.2:8080
620.98ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.14:8852
620.28ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008
598.65ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.201.45:8800
589.38ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.117:8712
591.40ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.210:8068
622.86ms,CCTV1,http://1.192.242.239:8188/rtp/239.16.20.1:10010
591.64ms,CCTV1,http://221.220.128.203:8012/rtp/239.3.1.129:8008
595.49ms,CCTV1,http://124.112.189.1:4022/rtp/238.1.78.166:7200
622.78ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.1:8008
619.71ms,CCTV1,http://39.77.22.26:4002/rtp/239.253.254.89:8000
256.33ms,CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
257.32ms,CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
320.57ms,CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
131.59ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
434.37ms,CCTV1,http://112.30.73.119:229/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
184.42ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
505.66ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
543.50ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
552.31ms,CCTV1,http://111.59.24.227:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
560.76ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.194:4120
532.25ms,CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
565.78ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002
556.42ms,CCTV1,http://182.140.125.47:808/hls/1/index.m3u8
586.26ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068
604.53ms,CCTV1,http://125.125.234.143:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
655.06ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
653.84ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
633.51ms,CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
661.14ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
1364.20ms,CCTV1,http://114.226.212.189:8787/rtp/239.49.8.19:9614
505.78ms,CCTV1,http://120.198.95.220:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
513.31ms,CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
876.19ms,CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8
1329.84ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
1505.25ms,CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8
1496.96ms,CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
1590.12ms,CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
1590.87ms,CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8
764.58ms,CCTV1,http://47.120.5.28:1234/608807420
487.30ms,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
789.62ms,CCTV1,http://223.83.177.142:1234/608807420
2216.83ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
2404.56ms,CCTV1,http://222.213.105.65:7788/608807420
2367.02ms,CCTV1,http://47.119.24.76:59093/608807420
2476.22ms,CCTV1,http://124.221.146.169:7001/608807420
2569.32ms,CCTV1,http://119.233.255.62:1234/608807420
3048.47ms,CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
2315.61ms,CCTV1,http://113.98.11.46:3000/608807420
2524.58ms,CCTV1,http://121.29.157.193:7788/608807420
2696.29ms,CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420
2654.28ms,CCTV1,http://222.134.19.49:8090/608807420
2652.59ms,CCTV1,http://www.ikerobot.com:1234/608807420
2797.60ms,CCTV1,http://120.48.113.49:6006/608807420
2717.68ms,CCTV1,http://14.118.89.10:7788/608807420
422.59ms,CCTV1,http://112.27.5.218:9901/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0
130.12ms,CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
1490.28ms,CCTV1,http://113.57.140.161:10081/newlive/live/hls/1/live.m3u8
66.04ms,CCTV1,http://69.30.245.50/live/cctv1.m3u8
120.93ms,CCTV1,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009
465.11ms,CCTV1,http://112.30.73.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
130.22ms,CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
247.81ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
197.47ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
213.27ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=7
584.57ms,CCTV1,http://118.122.144.115:8888/newlive/live/hls/1/live.m3u8
89.14ms,CCTV1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
196.67ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=11
180.17ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=14
180.05ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=17
175.44ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=9
513.45ms,CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
146.20ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
171.91ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=13
